station_name,pollution_score_mean,lines_affected,station_id_list,latitude,longitude,avg_passages
Abbesses,1.0,Métro 12,IDFM:463116,48.87500344147833,2.5815534685669776,32.89320388349515
Aimé Césaire,1.0,Métro 12,IDFM:483900,48.90843758066954,2.37813084516706,32.3984962406015
Alexandre Dumas,2.0,Métro 2,IDFM:22122,48.740574483428325,2.4467918786069998,20.572769953051644
Alma - Marceau,2.0,Métro 9,IDFM:463052,48.8647282422178,2.301130527470699,33.280851063829786
Alésia,1.0,Métro 4,IDFM:463118,48.82820106421924,2.3270932349484528,86.25581395348837
Anatole France,1.0,Métro 3,IDFM:22036,48.77643766769511,2.274320300530046,12.95166163141994
Anvers,2.0,Métro 2,IDFM:22123,48.882868568843925,2.344154840330292,70.13953488372093
Argentine,1.0,Métro 1,IDFM:463121,48.87566737659971,2.289435418542214,44.4392523364486
Arts et Métiers,1.5,"Métro 3, Métro 11","IDFM:21994, IDFM:21997",48.86553459885931,2.3567233472754983,37.5886524822695
Asnières - Gennevilliers Les Courtilles,1.0,Métro 13,IDFM:22233,48.93060364140038,2.284372100658843,45.857142857142854
Assemblée Nationale,2.0,Métro 12,IDFM:463123,48.86107193952608,2.320575836647556,22.37651821862348
Auber,2.0,RER A,IDFM:monomodalStopPlace:45873,48.87230278742097,2.329795528739104,29.06382978723404
Aubervilliers-Pantin Quatre Chemins,2.0,Métro 7,IDFM:463031,48.90379699038963,2.392114382497849,62.44186046511628
Avenue Emile Zola,2.0,Métro 10,IDFM:463124,48.84695722990175,2.2950459810371475,25.931506849315067
Avenue Foch,2.0,RER C,IDFM:monomodalStopPlace:45437,48.86985281215763,2.2747712644338454,52.4
Avenue Henri Martin,1.0,RER C,IDFM:monomodalStopPlace:45447,48.86545537297977,2.2722351438875577,52.4
Avenue du Président Kennedy Maison de Radio France,1.0,RER C,IDFM:monomodalStopPlace:45419,48.85352548506894,2.279679454187814,51.55
Avron,2.0,Métro 2,IDFM:22124,48.85164854359716,2.3981875566593973,33.49367088607595
Aéroport CDG 1 (Terminal 3) - RER,2.0,RER B,IDFM:monomodalStopPlace:462398,49.00979397116337,2.5614121946317394,125.0
